Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Port-au-Prince,987310.0,280.0,17481.0725938721,,,1.068000010153647,278.5080149231398,,,,,20.66771804,0.0,0.1694391998872451,,,996.0,952.0,948.0,982.0,222.0,945.0
Amman,4007526.0,542.0,29950.8597805879,58.54,130.2757885113515,1.342453677694073,213.3515083044094,7.36309249884951,0.34,0.14,255.49,29.24592374,0.0,,0.125208749051606,0.0325774601483799,388.0,387.0,154.0,678.0,531.0,601.0
Nairobi,5545000.0,337.0,68005.2891194836,42.81,156.5882522730553,1.072547257160338,115.8378302745292,,0.073,0.515,251.53,23.90700994,0.0,0.1793292492238648,0.529965695969319,0.0532007390282297,567.0,272.0,280.0,986.0,54.0,612.0
Lima,10367.0,876.0,22311.5802633943,40.69,84.40697233800682,0.1073731627963135,10070.80686279865,4.5134484216719,0.12,0.62,184.61,20.42317951,0.0968866393954226,0.8074405752684661,4.52666266311347,0.127095793581367,283.0,170.0,114.0,418.0,608.0,514.0
Khartoum,7869000.0,750.0,12497.7683526425,,144.0950384346611,1.942120581580933,,,,,,,0.0,,,,964.0,817.0,622.0,956.0,746.0,997.0
Dar es Salaam,7962000.0,660.0,32701.1478442774,57.08,,2.288401180364431,294.3070631198869,2.954481198756,0.068,0.5760000000000001,,,0.0,,0.0093807963879747,0.130744881993687,642.0,518.0,268.0,947.0,119.0,833.0
Kyiv,2963199.0,518.0,15196.7561296055,28.36,253.5821392869044,1.091076649133073,2460.872994018428,22.5116900467601,,,149.13,27.03735389,0.297030989218511,0.7123922750979128,,,313.0,186.0,229.0,325.0,638.0,867.0
Chicago,8595181.0,3830.0,9025.53664242433,84.81,729.5063658700022,1.843861816772403,892.3218764648083,17.7070693451979,0.78,0.12,207.72,,0.147669829652426,0.4784582347745486,0.003400079944485,0.22671908395707,29.0,8.0,46.0,276.0,520.0,184.0
Dallas,5668165.0,3699.0,8170.43388272109,67.8,760.4241295314515,3.556088508246893,1613.506565848755,0.0,0.905,0.014,180.24,,0.0539300513710897,,,,18.0,6.0,23.0,320.0,280.0,184.0
Detroit,3522856.0,2545.0,3763.34767112433,74.84,958.6660403945515,2.371176526678677,2409.345692850985,,0.925,0.015,245.08,42.08733743,0.00308167225588934,,,,117.0,116.0,100.0,277.0,352.0,184.0
Houston,5650910.0,3418.0,11539.2257120085,70.96,804.1175593018052,2.289856410441841,332.9102705542022,1.23555939951813,0.91,0.019,214.93,,0.0432381481620649,0.2700111249710742,0.0176281664961098,0.0650313746453978,25.0,15.0,18.0,298.0,271.0,184.0
Miami,5711945.0,3040.0,7651.17736012649,82.77,524.8411793451702,0.5549130336375617,1619.16394457158,6.74011665586519,0.87,0.038,213.56,,0.0226972874613699,,0.003126649741456,0.0569377109935073,36.0,22.0,38.0,318.0,39.0,184.0
Philadelphia,5512873.0,1520.0,11961.5094259914,83.24,848.3175150992234,2.756178874798165,1927.801242112479,10.651258310418,0.805,0.09300000000000001,229.52,,0.253244267717336,0.3729503760022087,0.003821938724083,0.247910396437925,33.0,18.0,29.0,260.0,355.0,184.0
